ID;Requisito;Fonte no prompt original;Comportamento legado relatado;Destino;Decisão;Critério de aceite;Teste/evidência;Dependência;Fase;Estado
GER-001;Cadastros e multiobra;M01;Obras e cadastros descritos;works;"Reconstrução independente; cadastro de obra local";"Criar obra, selecionar e separar registros; no servidor negar acesso sem vínculo";"Regra de vínculo local; segurança pendente";Auth e banco próprio;1–2;Parcial local
GER-002;Pauta e demandas;M02;Campos de Pauta relatados no anexo;tasks;Mesmo registro em Pauta e quadro;Persistir CRUD, anexos, comentários, origem, filtros e exportação sem duplicar;"Domínio parcial PASS; navegador pendente";Servidor, anexos e usuários;2;Parcial local
GER-003;Check-in de gestão;M03;Atas e snapshots antes frágeis;meetings;Retrato profundo independente;"Ata preservada após editar demanda; períodos corretos; decisões e participantes";"Snapshot PASS; impressão e navegador pendentes";Servidor e calendário;2;Parcial local
GER-004;Tarefas e WIP;M04;Cancelado convertido indevidamente pelo legado relatado;tasks/history;"Estados preservados; justificativas";"Cancelamento/reabertura com motivo; WIP concorrente transacional";"Estados PASS; WIP pendente";Servidor e delegação de vistoria;2;Parcial local
GER-005;Diário completo;M05;25 campos referidos do Apps Script;rdos/fields;25 campos em novo modelo local;"Duas contribuições no dia preservadas; sem clima/efetivo inventados; oficial versionado";"25 campos e contribuições PASS; oficial pendente";Servidor, evidências, aprovação;2;Parcial local
GER-006;Evidências e ocorrências;M06;Fotos públicas e metadados insuficientes relatados;evidencias/ocorrencias;Projetar armazenamento próprio privado;"Negar arquivo de outra obra; conservar original; ocorrência vinculada à ação";Não executado;Storage próprio, usuários e RDO;2;Planejado
GER-007;Efetivo e equipamentos;M07;Funções, equipamentos e paradas do Diário;presenca/alocacoes;Preservar distinção de presença e reunião;"Somar recursos sem duplicar equipe em duas frentes; horas conciliadas";Não executado;Pessoas, equipes e RDO;2;Planejado
GER-008;Planejamento e EAP;M08;Requisito de planejamento do Gerenciamento;eap/cronogramas;Implementação própria futura;"Ciclos rejeitados; bases aprovadas; PPC e Curva S com fontes e pesos";Não executado;RDO validado e calendário;3;Planejado
GER-009;Custos e contratos;M09;Regras financeiras do Gerenciamento;financeiro;Implementação própria futura;"Sem triplicar custo por medição/NF/pagamento; exemplo 105/76/29/102,8 reconciliado";Não executado;Competência aprovada, EAP, servidor;4;Planejado
GER-010;Compras e materiais;M10;Fluxos descritos no documento;suprimentos;Implementação própria futura;"Recebimento parcial, estornos, divergências; OCR apenas rascunho";Não executado;Financeiro e fornecedores;4;Planejado
GER-011;Documentos e projetos;M11;Revisões e BIM descritos;documentos/revisoes;Implementação própria futura;"Revisão vigente; histórico preservado; ciência; PDF antes de BIM";Não executado;Storage, aprovação e formatos;5;Planejado
GER-012;Dashboards e relatórios;M12;Indicadores e resumos previstos;overview/exports;Indicadores locais reais do demonstrador;"Contagens reconciliadas; filtros nos exports; não chamar tarefas de avanço físico";"Regras de atraso PASS; CSV e impressão não testados em navegador";Demais domínios para métricas futuras;2–5;Parcial local
GER-013;IA e integrações;M13 e seção 9;Protótipos relatados no documento;integracoes;Sem conectar legados por padrão;Fontes, autorização, deduplicação, assinatura, fila durável e revisão humana;Não executado;Provedores novos e autorização;5;Planejado
GER-014;Segurança por obra;Seção 7;RLS e Storage incompletos relatados;identity/domain;Implementar do zero;Usuário A não acessa obra B por tela, API, arquivo, export ou IA;"Não executado; filtro local não é autorização";Banco e identidade próprios;1;Planejado
GER-015;Offline e sincronização;Seção 8;Motor offline não presente nos anexos analisados;sync;IndexedDB local inicial não constitui sincronização;Fila durável, retomada, idempotência, conflito e revogação em dois aparelhos;"Não executado; IndexedDB implementado sem teste de navegador";Servidor e política offline;2;Planejado
GER-016;Migração opcional;Seção 10 + instrução atual;Dados reais e backups ausentes;importacao;Sem dependência de execução do legado;"Importação repetida não duplica; conciliar contagens, valores e arquivos";Não executado;Autorização, originais e exportações;6;Planejado
GER-017;Continuidade e completude;Seção 14 + instrução atual;Novo repositório independente exigido;Projeto inteiro;Todo código e documentação no pacote próprio;"Executar sem repositórios anteriores; nenhum remoto legado; scripts locais";Verificação de empacotamento e Git local;GitHub novo somente quando criado;0–6;Base entregue
GER-018;Homologação e liberação;Seções 12–15;Fluxo Definir→Liberar obrigatório;release;Separar base local de produção;Doze cenários de aceite do prompt, backup/restore e aceite responsável;Não executado para piloto/produção;Todas as fases aplicáveis;6;Planejado
